period,province,district,data_type,count
2018-01-01,Northwestern,Kalumbila,Confirmed,17471
2018-01-01,Northwestern,Kalumbila,Tested,11382
2018-01-01,Northwestern,Kasempa,Clinical,29
2018-01-01,Northwestern,Kasempa,Confirmed,10539
2018-01-01,Northwestern,Kasempa,Tested,1195
2018-01-01,Northwestern,Manyinga,Clinical,145
2018-01-01,Northwestern,Manyinga,Confirmed,4401
2018-01-01,Northwestern,Manyinga,Tested,5883
2018-01-01,Northwestern,Mufumbwe,Clinical,74
2018-01-01,Northwestern,Mufumbwe,Confirmed,6018
2018-01-01,Northwestern,Mufumbwe,Tested,10234
2018-01-01,Northwestern,Mushindamo,Clinical,870
2018-01-01,Northwestern,Mushindamo,Confirmed,5045
2018-01-01,Northwestern,Mushindamo,Tested,6849
2018-01-01,Northwestern,Mwinilunga,Clinical,546
2018-01-01,Northwestern,Mwinilunga,Confirmed,8183
2018-01-01,Northwestern,Mwinilunga,Tested,13339
2018-01-01,Northwestern,Solwezi,Clinical,1429
2018-01-01,Northwestern,Solwezi,Confirmed,17462
2018-01-01,Northwestern,Solwezi,Tested,4295
2018-01-01,Northwestern,Zambezi,Clinical,49
2018-01-01,Northwestern,Zambezi,Confirmed,10017
2018-01-01,Northwestern,Zambezi,Tested,1937
2018-01-01,Southern,Chikankata,Confirmed,354
2018-01-01,Southern,Chikankata,Confirmed_Passive_CHW,67
2018-01-01,Southern,Chikankata,Tested,1258
2018-01-01,Southern,Chikankata,Tested_Passive_CHW,443
2018-01-01,Southern,Choma,Clinical,1
2018-01-01,Southern,Choma,Confirmed,129
2018-01-01,Southern,Choma,Confirmed_Passive_CHW,34
2018-01-01,Southern,Choma,Tested,3066
2018-01-01,Southern,Choma,Tested_Passive_CHW,2485
2018-01-01,Southern,Gwembe,Confirmed,1580
2018-01-01,Southern,Gwembe,Confirmed_Passive_CHW,1037
2018-01-01,Southern,Gwembe,Tested,3345
2018-01-01,Southern,Gwembe,Tested_Passive_CHW,2406
2018-01-01,Southern,Kalomo,Clinical,6
2018-01-01,Southern,Kalomo,Confirmed,141
2018-01-01,Southern,Kalomo,Confirmed_Passive_CHW,211
2018-01-01,Southern,Kalomo,Tested,2713
2018-01-01,Southern,Kalomo,Tested_Passive_CHW,3089
2018-01-01,Southern,Kazungula,Confirmed,87
2018-01-01,Southern,Kazungula,Confirmed_Passive_CHW,142
2018-01-01,Southern,Kazungula,Tested,1397
2018-01-01,Southern,Kazungula,Tested_Passive_CHW,1993
2018-01-01,Southern,Livingstone,Confirmed,67
2018-01-01,Southern,Livingstone,Confirmed_Passive_CHW,2
2018-01-01,Southern,Livingstone,Tested,849
2018-01-01,Southern,Livingstone,Tested_Passive_CHW,322
2018-01-01,Southern,Mazabuka,Clinical,36
2018-01-01,Southern,Mazabuka,Confirmed,138
2018-01-01,Southern,Mazabuka,Confirmed_Passive_CHW,16
2018-01-01,Southern,Mazabuka,Tested,1187
2018-01-01,Southern,Mazabuka,Tested_Passive_CHW,571
2018-01-01,Southern,Monze,Confirmed,87
2018-01-01,Southern,Monze,Confirmed_Passive_CHW,18
2018-01-01,Southern,Monze,Tested,359
2018-01-01,Southern,Monze,Tested_Passive_CHW,863
2018-01-01,Southern,Namwala,Confirmed,45
2018-01-01,Southern,Namwala,Confirmed_Passive_CHW,12
2018-01-01,Southern,Namwala,Tested,1848
2018-01-01,Southern,Namwala,Tested_Passive_CHW,956
2018-01-01,Southern,Pemba,Confirmed,69
2018-01-01,Southern,Pemba,Confirmed_Passive_CHW,31
2018-01-01,Southern,Pemba,Tested,1013
2018-01-01,Southern,Pemba,Tested_Passive_CHW,724
2018-01-01,Southern,Siavonga,Confirmed,230
2018-01-01,Southern,Siavonga,Confirmed_Passive_CHW,214
2018-01-01,Southern,Siavonga,Tested,1619
2018-01-01,Southern,Siavonga,Tested_Passive_CHW,1124
2018-01-01,Southern,Sinazongwe,Clinical,26
2018-01-01,Southern,Sinazongwe,Confirmed,3828
2018-01-01,Southern,Sinazongwe,Confirmed_Passive_CHW,3479
2018-01-01,Southern,Sinazongwe,Tested,6853
2018-01-01,Southern,Sinazongwe,Tested_Passive_CHW,6036
2018-01-01,Southern,Zimba,Confirmed,137
2018-01-01,Southern,Zimba,Confirmed_Passive_CHW,83
2018-01-01,Southern,Zimba,Tested,1172
2018-01-01,Southern,Zimba,Tested_Passive_CHW,924
2018-01-01,Western,Kalabo,Clinical,657
2018-01-01,Western,Kalabo,Confirmed,9994
2018-01-01,Western,Kalabo,Confirmed_Passive_CHW,3648
2018-01-01,Western,Kalabo,Tested_Passive_CHW,6267
2018-01-01,Western,Kaoma,Clinical,184
2018-01-01,Western,Kaoma,Confirmed,11711
2018-01-01,Western,Kaoma,Confirmed_Passive_CHW,7983
2018-01-01,Western,Kaoma,Tested_Passive_CHW,10789
2018-01-01,Western,Limulunga,Clinical,1546
2018-01-01,Western,Limulunga,Confirmed,6606
2018-01-01,Western,Luampa,Clinical,58
2018-01-01,Western,Luampa,Confirmed,7255
2018-01-01,Western,Luampa,Confirmed_Passive_CHW,3084
2018-01-01,Western,Luampa,Tested,9496
2018-01-01,Western,Luampa,Tested_Passive_CHW,4227
2018-01-01,Western,Lukulu,Clinical,3
2018-01-01,Western,Lukulu,Confirmed,12289
2018-01-01,Western,Mitete,Clinical,122
2018-01-01,Western,Mitete,Confirmed,3063
2018-01-01,Western,Mitete,Confirmed_Passive_CHW,929
2018-01-01,Western,Mitete,Tested_Passive_CHW,1247
2018-01-01,Western,Mongu,Clinical,646
2018-01-01,Western,Mongu,Confirmed,14454
2018-01-01,Western,Mulobezi,Confirmed,741
2018-01-01,Western,Mulobezi,Confirmed_Passive_CHW,563
2018-01-01,Western,Mulobezi,Tested_Passive_CHW,1639
2018-01-01,Western,Mwandi,Clinical,55
2018-01-01,Western,Mwandi,Confirmed,223
2018-01-01,Western,Mwandi,Confirmed_Passive_CHW,126
2018-01-01,Western,Mwandi,Tested_Passive_CHW,324
2018-01-01,Western,Nalolo,Clinical,232
2018-01-01,Western,Nalolo,Confirmed,3819
2018-01-01,Western,Nalolo,Confirmed_Passive_CHW,2
2018-01-01,Western,Nalolo,Tested_Passive_CHW,4
2018-01-01,Western,Nkeyema,Clinical,348
2018-01-01,Western,Nkeyema,Confirmed,4637
2018-01-01,Western,Nkeyema,Confirmed_Passive_CHW,3045
2018-01-01,Western,Nkeyema,Tested_Passive_CHW,4588
2018-01-01,Western,Senanga,Clinical,453
2018-01-01,Western,Senanga,Confirmed,15825
2018-01-01,Western,Senanga,Tested,23300
2018-01-01,Western,Sesheke,Clinical,2
2018-01-01,Western,Sesheke,Confirmed,1023
2018-01-01,Western,Sesheke,Confirmed_Passive_CHW,859
2018-01-01,Western,Sesheke,Tested,1320
2018-01-01,Western,Sesheke,Tested_Passive_CHW,1871
2018-01-01,Western,Shang'ombo,Confirmed,3259
2018-01-01,Western,Shang'ombo,Confirmed_Passive_CHW,2993
2018-01-01,Western,Shang'ombo,Tested_Passive_CHW,5393
2018-01-01,Western,Sikongo,Clinical,41
2018-01-01,Western,Sikongo,Confirmed,4311
2018-01-01,Western,Sikongo,Confirmed_Passive_CHW,1946
2018-01-01,Western,Sikongo,Tested_Passive_CHW,3385
