"","period","province","district","count"
"299","2018-03-01","Northern","Chilubi",2701
"300","2018-03-01","Northern","Kaputa",1631
"301","2018-03-01","Northern","Kasama",12828
"302","2018-03-01","Northern","Lunte",1259
"303","2018-03-01","Northern","Lupososhi",967
"304","2018-03-01","Northern","Luwingu",3133
"305","2018-03-01","Northern","Mbala",4372
"306","2018-03-01","Northern","Mporokoso",1206
"307","2018-03-01","Northern","Mpulungu",1996
"308","2018-03-01","Northern","Mungwi",7543
"309","2018-03-01","Northern","Nsama",421
"310","2018-03-01","Northern","Senga",4528
"311","2018-03-01","Northwestern","Chavuma",3439
"312","2018-03-01","Northwestern","Ikelenge",5570
"313","2018-03-01","Northwestern","Kabompo",4772
"314","2018-03-01","Northwestern","Kalumbila",6565
"315","2018-03-01","Northwestern","Kasempa",9614
"316","2018-03-01","Northwestern","Manyinga",5360
"317","2018-03-01","Northwestern","Mufumbwe",5543
"318","2018-03-01","Northwestern","Mushindamo",5453
"319","2018-03-01","Northwestern","Mwinilunga",10071
"320","2018-03-01","Northwestern","Solwezi",14290
"321","2018-03-01","Northwestern","Zambezi",8175
"322","2018-03-01","Southern","Chikankata",107
"323","2018-03-01","Southern","Choma",129
"324","2018-03-01","Southern","Gwembe",4163
"325","2018-03-01","Southern","Kalomo",233
"326","2018-03-01","Southern","Kazungula",234
"327","2018-03-01","Southern","Livingstone",65
"328","2018-03-01","Southern","Mazabuka",490
"329","2018-03-01","Southern","Monze",71
"330","2018-03-01","Southern","Namwala",34
"331","2018-03-01","Southern","Pemba",75
"332","2018-03-01","Southern","Siavonga",577
"333","2018-03-01","Southern","Sinazongwe",6693
"334","2018-03-01","Southern","Zimba",138
"335","2018-03-01","Western","Kalabo",15253
"336","2018-03-01","Western","Kaoma",15003
"337","2018-03-01","Western","Limulunga",6272
"338","2018-03-01","Western","Luampa",6988
"339","2018-03-01","Western","Lukulu",11669
"340","2018-03-01","Western","Mitete",3841
"341","2018-03-01","Western","Mongu",15057
"342","2018-03-01","Western","Mulobezi",4381
"343","2018-03-01","Western","Mwandi",702
"344","2018-03-01","Western","Nalolo",3709
"345","2018-03-01","Western","Nkeyema",5610
"346","2018-03-01","Western","Senanga",13647
"347","2018-03-01","Western","Sesheke",2186
"348","2018-03-01","Western","Shang'ombo",8243
"349","2018-03-01","Western","Sikongo",5579
"350","2018-03-01","Western","Sioma",4426
"351","2018-03-01",NA,NA,76
"352","2018-04-01","Central","Chibombo",6544
"353","2018-04-01","Central","Chisamba",6157
"354","2018-04-01","Central","Chitambo",4089
"355","2018-04-01","Central","Itezhi-tezhi",1790
"356","2018-04-01","Central","Kabwe",7807
"357","2018-04-01","Central","Kapiri-Mposhi",36959
"358","2018-04-01","Central","Luano",3243
"359","2018-04-01","Central","Mkushi",10189
"360","2018-04-01","Central","Mumbwa",3682
"361","2018-04-01","Central","Ngabwe",1123
"362","2018-04-01","Central","Serenje",6089
"363","2018-04-01","Central","Shibuyunji",168
"364","2018-04-01","Copperbelt","Chililabombwe",3543
"365","2018-04-01","Copperbelt","Chingola",6019
"366","2018-04-01","Copperbelt","Kalulushi",5495
"367","2018-04-01","Copperbelt","Kitwe",14599
"368","2018-04-01","Copperbelt","Luanshya",13501
"369","2018-04-01","Copperbelt","Lufwanyama",16025
"370","2018-04-01","Copperbelt","Masaiti",9693
"371","2018-04-01","Copperbelt","Mpongwe",20626
"372","2018-04-01","Copperbelt","Mufulira",1663
"373","2018-04-01","Copperbelt","Ndola",5969
"374","2018-04-01","Eastern","Chadiza",11663
"375","2018-04-01","Eastern","Chasefu",9024
"376","2018-04-01","Eastern","Chipangali",25419
"377","2018-04-01","Eastern","Chipata",17353
"378","2018-04-01","Eastern","Kasenengwa",7789
"379","2018-04-01","Eastern","Katete",9778
"380","2018-04-01","Eastern","Lumezi",16886
"381","2018-04-01","Eastern","Lundazi",13755
"382","2018-04-01","Eastern","Lusangazi",4851
"383","2018-04-01","Eastern","Mambwe",9069
"384","2018-04-01","Eastern","Nyimba",8572
"385","2018-04-01","Eastern","Petauke",8852
"386","2018-04-01","Eastern","Sinda",7455
