,period,province,district,count
187,2/1/2018,Northern,Luwingu,3137
188,2/1/2018,Northern,Mbala,2670
189,2/1/2018,Northern,Mporokoso,829
190,2/1/2018,Northern,Mpulungu,1881
191,2/1/2018,Northern,Mungwi,6946
192,2/1/2018,Northern,Nsama,568
193,2/1/2018,Northern,Senga,3457
194,2/1/2018,Northwestern,Chavuma,4591
195,2/1/2018,Northwestern,Ikelenge,5447
196,2/1/2018,Northwestern,Kabompo,5226
197,2/1/2018,Northwestern,Kalumbila,9519
198,2/1/2018,Northwestern,Kasempa,9837
199,2/1/2018,Northwestern,Manyinga,5112
200,2/1/2018,Northwestern,Mufumbwe,5088
201,2/1/2018,Northwestern,Mushindamo,4918
202,2/1/2018,Northwestern,Mwinilunga,8141
203,2/1/2018,Northwestern,Solwezi,16525
204,2/1/2018,Northwestern,Zambezi,9544
205,2/1/2018,Southern,Chikankata,83
206,2/1/2018,Southern,Choma,98
207,2/1/2018,Southern,Gwembe,1648
208,2/1/2018,Southern,Kalomo,235
209,2/1/2018,Southern,Kazungula,159
210,2/1/2018,Southern,Livingstone,32
211,2/1/2018,Southern,Mazabuka,54
212,2/1/2018,Southern,Monze,91
213,2/1/2018,Southern,Namwala,82
214,2/1/2018,Southern,Pemba,103
215,2/1/2018,Southern,Siavonga,131
216,2/1/2018,Southern,Sinazongwe,3613
217,2/1/2018,Southern,Zimba,156
218,2/1/2018,Western,Kalabo,13503
219,2/1/2018,Western,Kaoma,15143
220,2/1/2018,Western,Limulunga,5556
221,2/1/2018,Western,Luampa,7546
222,2/1/2018,Western,Lukulu,10802
223,2/1/2018,Western,Mitete,2923
224,2/1/2018,Western,Mongu,11891
225,2/1/2018,Western,Mulobezi,2284
226,2/1/2018,Western,Mwandi,318
227,2/1/2018,Western,Nalolo,2946
228,2/1/2018,Western,Nkeyema,5970
229,2/1/2018,Western,Senanga,10792
230,2/1/2018,Western,Sesheke,1486
231,2/1/2018,Western,Shang'ombo,5862
232,2/1/2018,Western,Sikongo,5971
233,2/1/2018,Western,Sioma,3283
234,2/1/2018,NA,NA,34
235,3/1/2018,Central,Chibombo,2456
236,3/1/2018,Central,Chisamba,3464
237,3/1/2018,Central,Chitambo,4096
238,3/1/2018,Central,Itezhi-tezhi,1239
239,3/1/2018,Central,Kabwe,5963
240,3/1/2018,Central,Kapiri-Mposhi,29860
241,3/1/2018,Central,Luano,3495
242,3/1/2018,Central,Mkushi,8327
243,3/1/2018,Central,Mumbwa,1388
244,3/1/2018,Central,Ngabwe,783
245,3/1/2018,Central,Serenje,7200
246,3/1/2018,Central,Shibuyunji,89
247,3/1/2018,Copperbelt,Chililabombwe,3877
248,3/1/2018,Copperbelt,Chingola,7303
249,3/1/2018,Copperbelt,Kalulushi,6904
250,3/1/2018,Copperbelt,Kitwe,17865
251,3/1/2018,Copperbelt,Luanshya,10384
252,3/1/2018,Copperbelt,Lufwanyama,15674
253,3/1/2018,Copperbelt,Masaiti,11401
254,3/1/2018,Copperbelt,Mpongwe,16684
255,3/1/2018,Copperbelt,Mufulira,3335
256,3/1/2018,Copperbelt,Ndola,6703
257,3/1/2018,Eastern,Chadiza,6179
258,3/1/2018,Eastern,Chasefu,3268
259,3/1/2018,Eastern,Chipangali,12832
260,3/1/2018,Eastern,Chipata,10047
261,3/1/2018,Eastern,Kasenengwa,3112
262,3/1/2018,Eastern,Katete,5188
263,3/1/2018,Eastern,Lumezi,11519
264,3/1/2018,Eastern,Lundazi,8414
265,3/1/2018,Eastern,Lusangazi,2660
266,3/1/2018,Eastern,Mambwe,4153
267,3/1/2018,Eastern,Nyimba,3436
268,3/1/2018,Eastern,Petauke,3563
269,3/1/2018,Eastern,Sinda,2954
270,3/1/2018,Eastern,Vubwi,6228
271,3/1/2018,Luapula,Chembe,2894
272,3/1/2018,Luapula,Chienge,3697
273,3/1/2018,Luapula,Chifunabuli,4191
274,3/1/2018,Luapula,Chipili,1840
275,3/1/2018,Luapula,Kawambwa,2157
276,3/1/2018,Luapula,Lunga,1299
277,3/1/2018,Luapula,Mansa,17096
278,3/1/2018,Luapula,Milenge,3772
279,3/1/2018,Luapula,Mwansabombwe,1368
280,3/1/2018,Luapula,Mwense,3722
281,3/1/2018,Luapula,Nchelenge,3714
282,3/1/2018,Luapula,Samfya,5616
283,3/1/2018,Lusaka,Chilanga,228
284,3/1/2018,Lusaka,Chirundu,237
285,3/1/2018,Lusaka,Chongwe,539
286,3/1/2018,Lusaka,Kafue,268
287,3/1/2018,Lusaka,Luangwa,853
288,3/1/2018,Lusaka,Lusaka,2715
289,3/1/2018,Lusaka,Rufunsa,4442
290,3/1/2018,Muchinga,Chama,5743
291,3/1/2018,Muchinga,Chinsali,4584
292,3/1/2018,Muchinga,Isoka,3714
293,3/1/2018,Muchinga,Kanchibiya,4341
294,3/1/2018,Muchinga,Lavushimanda,2903
295,3/1/2018,Muchinga,Mafinga,2321
296,3/1/2018,Muchinga,Mpika,7537
297,3/1/2018,Muchinga,Nakonde,746
298,3/1/2018,Muchinga,Shiwang'andu,3759
299,3/1/2018,Northern,Chilubi,2701
300,3/1/2018,Northern,Kaputa,1631
301,3/1/2018,Northern,Kasama,12828
302,3/1/2018,Northern,Lunte,1259
303,3/1/2018,Northern,Lupososhi,967
304,3/1/2018,Northern,Luwingu,3133
305,3/1/2018,Northern,Mbala,4372
306,3/1/2018,Northern,Mporokoso,1206
307,3/1/2018,Northern,Mpulungu,1996
308,3/1/2018,Northern,Mungwi,7543
309,3/1/2018,Northern,Nsama,421
310,3/1/2018,Northern,Senga,4528
