region,zone,woreda,year,population
SNNP,Kembata Tibaro,Damboya,2019,105746
SNNP,Kembata Tibaro,Damboya,2021,112841
SNNP,Kembata Tibaro,Damboya,2022,116565
SNNP,Wolayita,Damot Gale,2020,137925
SNNP,Wolayita,Damot Gale,2018,129254
SNNP,Wolayita,Damot Gale,2019,133519
SNNP,Wolayita,Damot Gale,2021,142477
SNNP,Wolayita,Damot Gale,2022,147178
SNNP,Wolayita,Damot Pulasa,2020,137508
SNNP,Wolayita,Damot Pulasa,2018,128863
SNNP,Wolayita,Damot Pulasa,2019,133115
SNNP,Wolayita,Damot Pulasa,2021,142046
SNNP,Wolayita,Damot Pulasa,2022,146733
SNNP,Wolayita,Damot Sore,2020,127928
SNNP,Wolayita,Damot Sore,2018,119885
SNNP,Wolayita,Damot Sore,2019,123841
SNNP,Wolayita,Damot Sore,2021,132150
SNNP,Wolayita,Damot Sore,2022,136511
SNNP,Wolayita,Damot Weydie,2020,119979
SNNP,Wolayita,Damot Weydie,2018,112436
SNNP,Wolayita,Damot Weydie,2019,116146
SNNP,Wolayita,Damot Weydie,2021,123938
SNNP,Wolayita,Damot Weydie,2022,128028
Somali,Shabelle,Danan,2020,33273
Somali,Shabelle,Danan,2018,31181
Somali,Shabelle,Danan,2019,32210
Somali,Shabelle,Danan,2021,34371
Somali,Shabelle,Danan,2022,35505
Amhara,Awi,Dangila,2020,149419
Amhara,Awi,Dangila,2018,140025
Amhara,Awi,Dangila,2019,144646
Amhara,Awi,Dangila,2021,154350
Amhara,Awi,Dangila,2022,159443
Amhara,Awi,Dangila Town,2020,46259
Amhara,Awi,Dangila Town,2018,43351
Amhara,Awi,Dangila Town,2019,44781
Amhara,Awi,Dangila Town,2021,47786
Amhara,Awi,Dangila Town,2022,49362
Benishangul Gumz,Metekel,Dangura,2020,73431
Benishangul Gumz,Metekel,Dangura,2018,68814
Benishangul Gumz,Metekel,Dangura,2019,71085
Benishangul Gumz,Metekel,Dangura,2021,75854
Benishangul Gumz,Metekel,Dangura,2022,78357
Oromia,West Shewa,Dano,2020,134552
Oromia,West Shewa,Dano,2018,126093
Oromia,West Shewa,Dano,2019,130254
Oromia,West Shewa,Dano,2021,138992
Oromia,West Shewa,Dano,2022,143579
Somali,Doolo,Danod,2020,29960
Somali,Doolo,Danod,2018,28076
Somali,Doolo,Danod,2019,29003
Somali,Doolo,Danod,2021,30949
Somali,Doolo,Danod,2022,31970
SNNP,Sidama,Dara,2020,132607
SNNP,Sidama,Dara,2018,124270
SNNP,Sidama,Dara,2019,128371
SNNP,Sidama,Dara,2021,136983
SNNP,Sidama,Dara,2022,141503
SNNP,Sidama,Dara Otilicho,2020,79299
SNNP,Sidama,Dara Otilicho,2018,74313
SNNP,Sidama,Dara Otilicho,2019,76766
SNNP,Sidama,Dara Otilicho,2021,81916
SNNP,Sidama,Dara Otilicho,2022,84619
SNNP,Gamo,Daramalo,2020,105677
SNNP,Gamo,Daramalo,2018,99033
SNNP,Gamo,Daramalo,2019,102301
SNNP,Gamo,Daramalo,2021,109164
SNNP,Gamo,Daramalo,2022,112767
SNNP,Sidama,Darara,2020,139374
SNNP,Sidama,Darara,2018,130611
SNNP,Sidama,Darara,2019,134922
SNNP,Sidama,Darara,2021,143973
SNNP,Sidama,Darara,2022,148724
Somali,Doolo,Daratole,2020,31184
Somali,Doolo,Daratole,2018,29223
Somali,Doolo,Daratole,2019,30188
Somali,Doolo,Daratole,2021,32213
Somali,Doolo,Daratole,2022,33276
Oromia,Ilu Aba Bora,Darimu,2020,199652
Oromia,Ilu Aba Bora,Darimu,2018,187100
Oromia,Ilu Aba Bora,Darimu,2019,193274
Oromia,Ilu Aba Bora,Darimu,2021,206241
Oromia,Ilu Aba Bora,Darimu,2022,213046
Oromia,West Hararge,Daro Lebu,2020,190940
Oromia,West Hararge,Daro Lebu,2018,178935
Oromia,West Hararge,Daro Lebu,2019,184840
Oromia,West Hararge,Daro Lebu,2021,197241
Oromia,West Hararge,Daro Lebu,2022,203750
Somali,Jarar,Daror,2020,38938
Somali,Jarar,Daror,2018,36490
Somali,Jarar,Daror,2019,37694
Somali,Jarar,Daror,2021,40223
Somali,Jarar,Daror,2022,41550
SNNP,South Omo,Dasenech (Kuraz),2020,68826
SNNP,South Omo,Dasenech (Kuraz),2018,64499
SNNP,South Omo,Dasenech (Kuraz),2019,66627
SNNP,South Omo,Dasenech (Kuraz),2021,71097
SNNP,South Omo,Dasenech (Kuraz),2022,73443
Oromia,Bale,Dawe Ketchen,2020,101062
Oromia,Bale,Dawe Ketchen,2018,94708
Oromia,Bale,Dawe Ketchen,2019,97833
Oromia,Bale,Dawe Ketchen,2021,104397
Oromia,Bale,Dawe Ketchen,2022,107842
Oromia,South West Shewa,Dawo,2020,99694
Oromia,South West Shewa,Dawo,2018,93426
Oromia,South West Shewa,Dawo,2019,96509
Oromia,South West Shewa,Dawo,2021,102984
Oromia,South West Shewa,Dawo,2022,106382
Amhara,North Wello,Dawunt,2020,79902
Amhara,North Wello,Dawunt,2018,74878
Amhara,North Wello,Dawunt,2019,77349
Amhara,North Wello,Dawunt,2021,82539
Amhara,North Wello,Dawunt,2022,85263
SNNP,Sidama,Daye Town Administration,2020,43871
SNNP,Sidama,Daye Town Administration,2018,41113
SNNP,Sidama,Daye Town Administration,2019,42470
SNNP,Sidama,Daye Town Administration,2021,45319
SNNP,Sidama,Daye Town Administration,2022,46814
Amhara,North Gondar,Debark,2020,133193
Amhara,North Gondar,Debark,2018,124819
Amhara,North Gondar,Debark,2019,128938
Amhara,North Gondar,Debark,2021,137588
Amhara,North Gondar,Debark,2022,142129
Amhara,North Gondar,Debark Town,2020,35604
Amhara,North Gondar,Debark Town,2018,33366
Amhara,North Gondar,Debark Town,2019,34467
Amhara,North Gondar,Debark Town,2021,36779
Amhara,North Gondar,Debark Town,2022,37993
Benishangul Gumz,Metekel,Debati,2020,96692
Benishangul Gumz,Metekel,Debati,2018,90613
Benishangul Gumz,Metekel,Debati,2019,93603
Benishangul Gumz,Metekel,Debati,2021,99883
Benishangul Gumz,Metekel,Debati,2022,103179
Amhara,East Gojam,Debay Telatgen,2020,148186
Amhara,East Gojam,Debay Telatgen,2018,138869
Amhara,East Gojam,Debay Telatgen,2019,143452
Amhara,East Gojam,Debay Telatgen,2021,153076
Amhara,East Gojam,Debay Telatgen,2022,158128
Somali,Korahe,Debeweyin,2020,90230
Somali,Korahe,Debeweyin,2018,84557
Somali,Korahe,Debeweyin,2019,87348
Somali,Korahe,Debeweyin,2021,93208
Somali,Korahe,Debeweyin,2022,96283
Amhara,North Shewa,Debre Berhan Town,2020,111685
Amhara,North Shewa,Debre Berhan Town,2018,104663
Amhara,North Shewa,Debre Berhan Town,2019,108117
Amhara,North Shewa,Debre Berhan Town,2021,115371
Amhara,North Shewa,Debre Berhan Town,2022,119178
Amhara,East Gojam,Debre Elias,2020,101580
Amhara,East Gojam,Debre Elias,2018,95194
Amhara,East Gojam,Debre Elias,2019,98335
Amhara,East Gojam,Debre Elias,2021,104932
Amhara,East Gojam,Debre Elias,2022,108395
Oromia,North Shewa,Debre Libanos,2020,63565
Oromia,North Shewa,Debre Libanos,2018,59569
Oromia,North Shewa,Debre Libanos,2019,61534
Oromia,North Shewa,Debre Libanos,2021,65663
Oromia,North Shewa,Debre Libanos,2022,67830
Amhara,East Gojam,Debre Markos Town,2020,106959
Amhara,East Gojam,Debre Markos Town,2018,100234
Amhara,East Gojam,Debre Markos Town,2019,103542
Amhara,East Gojam,Debre Markos Town,2021,110489
Amhara,East Gojam,Debre Markos Town,2022,114135
Amhara,South Gondar,Debre Tabor Town,2020,95260
Amhara,South Gondar,Debre Tabor Town,2018,89271
Amhara,South Gondar,Debre Tabor Town,2019,92217
Amhara,South Gondar,Debre Tabor Town,2021,98404
Amhara,South Gondar,Debre Tabor Town,2022,101651
Tigray,Mekele Special,Debub & Semen Mekele,2020,65363
Tigray,Mekele Special,Debub & Semen Mekele,2018,61254
Tigray,Mekele Special,Debub & Semen Mekele,2019,63275
Tigray,Mekele Special,Debub & Semen Mekele,2021,67520
Tigray,Mekele Special,Debub & Semen Mekele,2022,69748
Amhara,West Gojam,Debub Achefer,2020,161684
Amhara,West Gojam,Debub Achefer,2018,151519
Amhara,West Gojam,Debub Achefer,2019,156519
Amhara,West Gojam,Debub Achefer,2021,167020
Amhara,West Gojam,Debub Achefer,2022,172531
SNNP,Bench Maji,Debub Bench,2020,142579
SNNP,Bench Maji,Debub Bench,2018,133615
SNNP,Bench Maji,Debub Bench,2019,138024
SNNP,Bench Maji,Debub Bench,2021,147284
SNNP,Bench Maji,Debub Bench,2022,152144
Amhara,West Gojam,Debub Mecha,2020,178670
Amhara,West Gojam,Debub Mecha,2018,167437
Amhara,West Gojam,Debub Mecha,2019,172962
Amhara,West Gojam,Debub Mecha,2021,184566
Amhara,West Gojam,Debub Mecha,2022,190657
SNNP,Kefa,Decha,2020,83129
SNNP,Kefa,Decha,2018,77903
SNNP,Kefa,Decha,2019,80473
SNNP,Kefa,Decha,2021,85872
SNNP,Kefa,Decha,2022,88706
Dire Dawa,Dire Dawa urban,Dechatu,2020,14933
Dire Dawa,Dire Dawa urban,Dechatu,2018,13994
Dire Dawa,Dire Dawa urban,Dechatu,2019,14456
Dire Dawa,Dire Dawa urban,Dechatu,2021,15426
Dire Dawa,Dire Dawa urban,Dechatu,2022,15935
Oromia,East Hararge,Deder,2020,305323
Oromia,East Hararge,Deder,2018,286127
Oromia,East Hararge,Deder,2019,295569
Oromia,East Hararge,Deder,2021,315399
Oromia,East Hararge,Deder,2022,325807
Oromia,East Hararge,Deder Town,2020,20800
Oromia,East Hararge,Deder Town,2018,19492
Oromia,East Hararge,Deder Town,2019,20136
Oromia,East Hararge,Deder Town,2021,21486
Oromia,East Hararge,Deder Town,2022,22195
Oromia,Buno Bedele,Dedesa,2020,116743
Oromia,Buno Bedele,Dedesa,2018,109403
Oromia,Buno Bedele,Dedesa,2019,113014
Oromia,Buno Bedele,Dedesa,2021,120596
Oromia,Buno Bedele,Dedesa,2022,124575
Oromia,Jimma,Dedo,2020,219336
Oromia,Jimma,Dedo,2018,205546
Oromia,Jimma,Dedo,2019,212329
Oromia,Jimma,Dedo,2021,226574
Oromia,Jimma,Dedo,2022,234051
Oromia,Buno Bedele,Dega,2020,54347
Oromia,Buno Bedele,Dega,2018,50930
Oromia,Buno Bedele,Dega,2019,52611
Oromia,Buno Bedele,Dega,2021,56140
Oromia,Buno Bedele,Dega,2022,57993
Amhara,West Gojam,Dega Damot,2020,176787
Amhara,West Gojam,Dega Damot,2018,165672
Amhara,West Gojam,Dega Damot,2019,171139
Amhara,West Gojam,Dega Damot,2021,182621
Amhara,West Gojam,Dega Damot,2022,188647
Tigray,South Eastern,Dega Temben,2020,131501
Tigray,South Eastern,Dega Temben,2018,123233
Tigray,South Eastern,Dega Temben,2019,127300
Tigray,South Eastern,Dega Temben,2021,135841
Tigray,South Eastern,Dega Temben,2022,140323
Somali,Jarar,Degahabur City,2020,38053
Somali,Jarar,Degahabur City,2018,35661
Somali,Jarar,Degahabur City,2019,36837
Somali,Jarar,Degahabur City,2021,39309
Somali,Jarar,Degahabur City,2022,40606
Somali,Jarar,Degehabur,2020,42064
Somali,Jarar,Degehabur,2018,39419
Somali,Jarar,Degehabur,2019,40720
Somali,Jarar,Degehabur,2021,43452
Somali,Jarar,Degehabur,2022,44886
Somali,Jarar,Degehamedo,2020,75254
Somali,Jarar,Degehamedo,2018,70523
Somali,Jarar,Degehamedo,2019,72850
Somali,Jarar,Degehamedo,2021,77737
Somali,Jarar,Degehamedo,2022,80303
Oromia,Arsi,Degeluna Tijo,2020,194248
Oromia,Arsi,Degeluna Tijo,2018,182035
Oromia,Arsi,Degeluna Tijo,2019,188043
Oromia,Arsi,Degeluna Tijo,2021,200658
Oromia,Arsi,Degeluna Tijo,2022,207280
Oromia,North Shewa,Degem,2020,136151
Oromia,North Shewa,Degem,2018,127591
Oromia,North Shewa,Degem,2019,131802
Oromia,North Shewa,Degem,2021,140644
Oromia,North Shewa,Degem,2022,145285
Amhara,Wag Hamra,Dehana,2020,137296
Amhara,Wag Hamra,Dehana,2018,128664
Amhara,Wag Hamra,Dehana,2019,132910
Amhara,Wag Hamra,Dehana,2021,141827
Amhara,Wag Hamra,Dehana,2022,146507
Amhara,East Gojam,Dejen,2020,106303
Amhara,East Gojam,Dejen,2018,99620
Amhara,East Gojam,Dejen,2019,102907
Amhara,East Gojam,Dejen,2021,109811
Amhara,East Gojam,Dejen,2022,113435
Amhara,East Gojam,Dejen Town,2020,14890
Amhara,East Gojam,Dejen Town,2018,13954
Amhara,East Gojam,Dejen Town,2019,14414
Amhara,East Gojam,Dejen Town,2021,15381
Amhara,East Gojam,Dejen Town,2022,15889
Somali,Liban,Deka Suftu,2020,57977
Somali,Liban,Deka Suftu,2018,54332
Somali,Liban,Deka Suftu,2019,56125
Somali,Liban,Deka Suftu,2021,59890
Somali,Liban,Deka Suftu,2022,61867
Amhara,South Wello,Delanta,2020,149535
Amhara,South Wello,Delanta,2018,140134
Amhara,South Wello,Delanta,2019,144758
Amhara,South Wello,Delanta,2021,154470
Amhara,South Wello,Delanta,2022,159567
Amhara,West Gojam,Dembecha,2020,157381
Amhara,West Gojam,Dembecha,2018,147486
Amhara,West Gojam,Dembecha,2019,152353
Amhara,West Gojam,Dembecha,2021,162575
Amhara,West Gojam,Dembecha,2022,167940
Somali,Siti,Dembel,2020,105700
Somali,Siti,Dembel,2018,99055
Somali,Siti,Dembel,2019,102323
Somali,Siti,Dembel,2021,109188
Somali,Siti,Dembel,2022,112791
Amhara,West Gojam,Denbecha /Town/,2020,30691
Amhara,West Gojam,Denbecha /Town/,2018,28761
Amhara,West Gojam,Denbecha /Town/,2019,29711
Amhara,West Gojam,Denbecha /Town/,2021,31704
Amhara,West Gojam,Denbecha /Town/,2022,32750
Oromia,Kelem Wellega,Denbi Dollo Town,2020,47237
Oromia,Kelem Wellega,Denbi Dollo Town,2018,44267
Oromia,Kelem Wellega,Denbi Dollo Town,2019,45728
Oromia,Kelem Wellega,Denbi Dollo Town,2021,48796
Oromia,Kelem Wellega,Denbi Dollo Town,2022,50406
Oromia,West Shewa,Dendi,2020,179823
Oromia,West Shewa,Dendi,2018,168517
Oromia,West Shewa,Dendi,2019,174078
Oromia,West Shewa,Dendi,2021,185757
Oromia,West Shewa,Dendi,2022,191887
SNNP,Gofa,Denibu Gofa,2020,93482
SNNP,Gofa,Denibu Gofa,2018,87605
SNNP,Gofa,Denibu Gofa,2019,90496
SNNP,Gofa,Denibu Gofa,2021,96567
SNNP,Gofa,Denibu Gofa,2022,99754
Amhara,South Gondar,Dera (Amhara),2020,291565
Amhara,South Gondar,Dera (Amhara),2018,273234
Amhara,South Gondar,Dera (Amhara),2019,282251
Amhara,South Gondar,Dera (Amhara),2021,301187
Amhara,South Gondar,Dera (Amhara),2022,311126
Oromia,North Shewa,Dera (Oromia),2020,249994
Oromia,North Shewa,Dera (Oromia),2018,234277
Oromia,North Shewa,Dera (Oromia),2019,242008
Oromia,North Shewa,Dera (Oromia),2021,258244
Oromia,North Shewa,Dera (Oromia),2022,266766
SNNP,Derashe,Derashe Special,2020,107301
SNNP,Derashe,Derashe Special,2018,100555
SNNP,Derashe,Derashe Special,2019,103873
SNNP,Derashe,Derashe Special,2021,110842
SNNP,Derashe,Derashe Special,2022,114500
Amhara,South Wello,Dessie City Adm.,2020,240799
Amhara,South Wello,Dessie City Adm.,2018,225660
Amhara,South Wello,Dessie City Adm.,2019,233106
Amhara,South Wello,Dessie City Adm.,2021,248745
Amhara,South Wello,Dessie City Adm.,2022,256954
Amhara,South Wello,Dessie Zuria,2020,178946
Amhara,South Wello,Dessie Zuria,2018,167695
Amhara,South Wello,Dessie Zuria,2019,173229
Amhara,South Wello,Dessie Zuria,2021,184851
Amhara,South Wello,Dessie Zuria,2022,190951
Amhara,Oromia,Dewa Cheffa,2020,153014
Amhara,Oromia,Dewa Cheffa,2018,143394
Amhara,Oromia,Dewa Cheffa,2019,148126
Amhara,Oromia,Dewa Cheffa,2021,158063
Amhara,Oromia,Dewa Cheffa,2022,163280
Amhara,Oromia,Dewa Harewa,2020,49964
Amhara,Oromia,Dewa Harewa,2018,46823
Amhara,Oromia,Dewa Harewa,2019,48368
Amhara,Oromia,Dewa Harewa,2021,51613
Amhara,Oromia,Dewa Harewa,2022,53316
Afar,Zone 5 (Hari Rasu),Dewe,2020,47918
Afar,Zone 5 (Hari Rasu),Dewe,2018,44905
Afar,Zone 5 (Hari Rasu),Dewe,2019,46387
Afar,Zone 5 (Hari Rasu),Dewe,2021,49499
Afar,Zone 5 (Hari Rasu),Dewe,2022,51133
Oromia,Borena,Dhas,2020,26304
Oromia,Borena,Dhas,2018,24650
Oromia,Borena,Dhas,2019,25464
Oromia,Borena,Dhas,2021,27172
Oromia,Borena,Dhas,2022,28069
Oromia,Ilu Aba Bora,Didu,2020,44618
Oromia,Ilu Aba Bora,Didu,2018,41813
Oromia,Ilu Aba Bora,Didu,2019,43193
Oromia,Ilu Aba Bora,Didu,2021,46090
Oromia,Ilu Aba Bora,Didu,2022,47611
Somali,Jarar,Dig,2020,21500
Somali,Jarar,Dig,2018,20148
Somali,Jarar,Dig,2019,20813
Somali,Jarar,Dig,2021,22210
Somali,Jarar,Dig,2022,22942
Oromia,East Wellega,Diga,2020,92639
Oromia,East Wellega,Diga,2018,86815
Oromia,East Wellega,Diga,2019,89680
Oromia,East Wellega,Diga,2021,95696
Oromia,East Wellega,Diga,2022,98854
SNNP,Wolayita,Diguna Fango,2020,125703
SNNP,Wolayita,Diguna Fango,2018,117800
SNNP,Wolayita,Diguna Fango,2019,121687
SNNP,Wolayita,Diguna Fango,2021,129851
SNNP,Wolayita,Diguna Fango,2022,134136
Somali,Nogob,Dihun,2020,21258
Somali,Nogob,Dihun,2018,19921
Somali,Nogob,Dihun,2019,20579
Somali,Nogob,Dihun,2021,21960
Somali,Nogob,Dihun,2022,22684
Oromia,Arsi,Diksis,2020,114634
Oromia,Arsi,Diksis,2018,107427
Oromia,Arsi,Diksis,2019,110972
Oromia,Arsi,Diksis,2021,118417
Oromia,Arsi,Diksis,2022,122325
SNNP,Gedeo,Dila City Admin,2020,94474
SNNP,Gedeo,Dila City Admin,2018,88534
SNNP,Gedeo,Dila City Admin,2019,91456
SNNP,Gedeo,Dila City Admin,2021,97592
SNNP,Gedeo,Dila City Admin,2022,100812
SNNP,Gedeo,Dila Zuria,2020,127196
SNNP,Gedeo,Dila Zuria,2018,119199
SNNP,Gedeo,Dila Zuria,2019,123133
SNNP,Gedeo,Dila Zuria,2021,131393
SNNP,Gedeo,Dila Zuria,2022,135729
Oromia,Borena,Dilo,2020,16572
Oromia,Borena,Dilo,2018,15530
Oromia,Borena,Dilo,2019,16043
Oromia,Borena,Dilo,2021,17119
Oromia,Borena,Dilo,2022,17684
Gambela,Agnewak,Dima,2020,11781
Gambela,Agnewak,Dima,2018,11040
Gambela,Agnewak,Dima,2019,11405
Gambela,Agnewak,Dima,2021,12170
Gambela,Agnewak,Dima,2022,12571
Oromia,Bale,Dinsho,2020,54251
Oromia,Bale,Dinsho,2018,50840
Oromia,Bale,Dinsho,2019,52518
Oromia,Bale,Dinsho,2021,56041
Oromia,Bale,Dinsho,2022,57891
Oromia,Borena,Dire,2020,51319
Oromia,Borena,Dire,2018,48093
Oromia,Borena,Dire,2019,49680
Oromia,Borena,Dire,2021,53013
Oromia,Borena,Dire,2022,54762
Harari,Harari,Dire Teyara,2020,1624
Harari,Harari,Dire Teyara,2018,1522
Harari,Harari,Dire Teyara,2019,1572
Harari,Harari,Dire Teyara,2021,1678
Harari,Harari,Dire Teyara,2022,1733
SNNP,Dawuro,Disa,2020,83761
SNNP,Dawuro,Disa,2018,78495
SNNP,Dawuro,Disa,2019,81085
SNNP,Dawuro,Disa,2021,86525
SNNP,Dawuro,Disa,2022,89380
SNNP,Gamo,Dita,2020,109429
SNNP,Gamo,Dita,2018,102549
SNNP,Gamo,Dita,2019,105933
SNNP,Gamo,Dita,2021,113040
SNNP,Gamo,Dita,2022,116770
Oromia,West Hararge,Doba,2020,182726
Oromia,West Hararge,Doba,2018,171238
Oromia,West Hararge,Doba,2019,176889
Oromia,West Hararge,Doba,2021,188756
Oromia,West Hararge,Doba,2022,194985
Oromia,West Arsi,Dodola,2020,225619
Oromia,West Arsi,Dodola,2018,211434
Oromia,West Arsi,Dodola,2019,218411
Oromia,West Arsi,Dodola,2021,233064
Oromia,West Arsi,Dodola,2022,240756
Oromia,West Arsi,Dodola Town,2020,33413
Oromia,West Arsi,Dodola Town,2018,31312
Oromia,West Arsi,Dodola Town,2019,32346
Oromia,West Arsi,Dodola Town,2021,34516
Oromia,West Arsi,Dodola Town,2022,35655
Oromia,Arsi,Dodota,2020,92366
Oromia,Arsi,Dodota,2018,86559
Oromia,Arsi,Dodota,2019,89415
Oromia,Arsi,Dodota,2021,95414
Oromia,Arsi,Dodota,2022,98563
Somali,Liban,Dolo Odo,2020,139637
Somali,Liban,Dolo Odo,2018,130858
Somali,Liban,Dolo Odo,2019,135176
Somali,Liban,Dolo Odo,2021,144245
Somali,Liban,Dolo Odo,2022,149005
Somali,Afder,Dolobay,2020,108388
Somali,Afder,Dolobay,2018,101574
Somali,Afder,Dolobay,2019,104925
Somali,Afder,Dolobay,2021,111965
Somali,Afder,Dolobay,2022,115660
Oromia,Ilu Aba Bora,Dorani,2020,49854
Oromia,Ilu Aba Bora,Dorani,2018,46720
Oromia,Ilu Aba Bora,Dorani,2019,48261
Oromia,Ilu Aba Bora,Dorani,2021,51499
Oromia,Ilu Aba Bora,Dorani,2022,53199
SNNP,Kembata Tibaro,Doya Gena,2020,103656
SNNP,Kembata Tibaro,Doya Gena,2018,97139
SNNP,Kembata Tibaro,Doya Gena,2019,100345
SNNP,Kembata Tibaro,Doya Gena,2021,107077
SNNP,Kembata Tibaro,Doya Gena,2022,110610
Oromia,Borena,Dubluk,2020,30873
Oromia,Borena,Dubluk,2018,28932
Oromia,Borena,Dubluk,2019,29887
Oromia,Borena,Dubluk,2021,31892
Oromia,Borena,Dubluk,2022,32944
Afar,Zone 1 (Awsi Rasu),Dubti,2020,92182
Afar,Zone 1 (Awsi Rasu),Dubti,2018,86386
Afar,Zone 1 (Awsi Rasu),Dubti,2019,89237
Afar,Zone 1 (Awsi Rasu),Dubti,2021,95224
Afar,Zone 1 (Awsi Rasu),Dubti,2022,98366
Afar,Zone 1 (Awsi Rasu),Dubti Town,2020,29429
Afar,Zone 1 (Awsi Rasu),Dubti Town,2018,27579
Afar,Zone 1 (Awsi Rasu),Dubti Town,2019,28489
Afar,Zone 1 (Awsi Rasu),Dubti Town,2021,30400
Afar,Zone 1 (Awsi Rasu),Dubti Town,2022,31403
Oromia,East Shewa,Dugda,2020,206597
Oromia,East Shewa,Dugda,2018,193608
Oromia,East Shewa,Dugda,2019,199997
Oromia,East Shewa,Dugda,2021,213415
Oromia,East Shewa,Dugda,2022,220457
Oromia,West Guji,Dugda Dawa,2020,93678
Oromia,West Guji,Dugda Dawa,2018,87788
Oromia,West Guji,Dugda Dawa,2019,90685
Oromia,West Guji,Dugda Dawa,2021,96769
Oromia,West Guji,Dugda Dawa,2022,99963
Oromia,Finfine Special,Dukem,2020,12621
Oromia,Finfine Special,Dukem,2018,11828
Oromia,Finfine Special,Dukem,2019,12218
Oromia,Finfine Special,Dukem,2021,13037
Oromia,Finfine Special,Dukem,2022,13468
Afar,Zone 3 (Gabi Rasu),Dulecha,2020,23484
Afar,Zone 3 (Gabi Rasu),Dulecha,2018,22008
Afar,Zone 3 (Gabi Rasu),Dulecha,2019,22734
Afar,Zone 3 (Gabi Rasu),Dulecha,2021,24259
Afar,Zone 3 (Gabi Rasu),Dulecha,2022,25060
SNNP,Hadiya,Dune,2020,159515
SNNP,Hadiya,Dune,2018,149486
SNNP,Hadiya,Dune,2019,154419
SNNP,Hadiya,Dune,2021,164779
SNNP,Hadiya,Dune,2022,170217
SNNP,Kembata Tibaro,Durame Town,2020,86200
SNNP,Kembata Tibaro,Durame Town,2018,80781
SNNP,Kembata Tibaro,Durame Town,2019,83446
SNNP,Kembata Tibaro,Durame Town,2021,89045
SNNP,Kembata Tibaro,Durame Town,2022,91983
Amhara,Central Gondar,East Belesa,2020,138549
Amhara,Central Gondar,East Belesa,2018,129838
Amhara,Central Gondar,East Belesa,2019,134123
Amhara,Central Gondar,East Belesa,2021,143121
Amhara,Central Gondar,East Belesa,2022,147844
Amhara,Central Gondar,East Dembia,2020,166192
Amhara,Central Gondar,East Dembia,2018,155743
Amhara,Central Gondar,East Dembia,2019,160883
Amhara,Central Gondar,East Dembia,2021,171676
Amhara,Central Gondar,East Dembia,2022,177342
Amhara,South Gondar,East Esite,2020,223432
Amhara,South Gondar,East Esite,2018,209385
Amhara,South Gondar,East Esite,2019,216294
Amhara,South Gondar,East Esite,2021,230805
Amhara,South Gondar,East Esite,2022,238422
Somali,Shabelle,East Imi,2020,102608
Somali,Shabelle,East Imi,2018,96157
Somali,Shabelle,East Imi,2019,99330
Somali,Shabelle,East Imi,2021,105994
Somali,Shabelle,East Imi,2022,109492
Amhara,South Gondar,Ebenat,2020,194205
Amhara,South Gondar,Ebenat,2018,181995
Amhara,South Gondar,Ebenat,2019,188001
Amhara,South Gondar,Ebenat,2021,200614
Amhara,South Gondar,Ebenat,2022,207234
Amhara,North Shewa,Eferatana Gidem,2020,134610
Amhara,North Shewa,Eferatana Gidem,2018,126147
Amhara,North Shewa,Eferatana Gidem,2019,130310
Amhara,North Shewa,Eferatana Gidem,2021,139052
Amhara,North Shewa,Eferatana Gidem,2022,143641
Oromia,West Shewa,Ejere (Addis Alem),2020,120553
Oromia,West Shewa,Ejere (Addis Alem),2018,112974
Oromia,West Shewa,Ejere (Addis Alem),2019,116702
Oromia,West Shewa,Ejere (Addis Alem),2021,124531
Oromia,West Shewa,Ejere (Addis Alem),2022,128641
Oromia,West Shewa,Ejersa Lafo,2020,79094
Oromia,West Shewa,Ejersa Lafo,2018,74121
Oromia,West Shewa,Ejersa Lafo,2019,76567
Oromia,West Shewa,Ejersa Lafo,2021,81704
Oromia,West Shewa,Ejersa Lafo,2022,84400
Somali,Korahe,El-Ogaden,2020,19897
Somali,Korahe,El-Ogaden,2018,18646
Somali,Korahe,El-Ogaden,2019,19261
Somali,Korahe,El-Ogaden,2021,20554
Somali,Korahe,El-Ogaden,2022,21232
SNNP,Konta Special,Ela (Konta) SP Woreda,2020,119904
SNNP,Konta Special,Ela (Konta) SP Woreda,2018,112366
SNNP,Konta Special,Ela (Konta) SP Woreda,2019,116074
SNNP,Konta Special,Ela (Konta) SP Woreda,2021,123861
SNNP,Konta Special,Ela (Konta) SP Woreda,2022,127948
Somali,Shabelle,Elale,2020,16795
Somali,Shabelle,Elale,2018,15739
Somali,Shabelle,Elale,2019,16258
Somali,Shabelle,Elale,2021,17349
Somali,Shabelle,Elale,2022,17922
Afar,Zone 1 (Awsi Rasu),Elidar,2020,93415
Afar,Zone 1 (Awsi Rasu),Elidar,2018,87542
Afar,Zone 1 (Awsi Rasu),Elidar,2019,90431
Afar,Zone 1 (Awsi Rasu),Elidar,2021,96498
Afar,Zone 1 (Awsi Rasu),Elidar,2022,99682
Somali,Afder,Elkare/Serer,2020,74364
Somali,Afder,Elkare/Serer,2018,69689
Somali,Afder,Elkare/Serer,2019,71988
Somali,Afder,Elkare/Serer,2021,76818
Somali,Afder,Elkare/Serer,2022,79353
Oromia,Borena,Elwaya,2020,31067
Oromia,Borena,Elwaya,2018,29114
Oromia,Borena,Elwaya,2019,30075
Oromia,Borena,Elwaya,2021,32092
